INFO 2025-07-15 14:04:38,705 autoreload Watching for file changes with StatReloader
INFO 2025-07-15 14:10:02,573 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 14:10:02,581 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 14:10:02,584 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 14:10:02,595 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
WARNING 2025-07-15 14:13:22,412 log Unauthorized: /api/me/
WARNING 2025-07-15 14:13:22,412 log Unauthorized: /api/me/
WARNING 2025-07-15 14:13:22,415 basehttp "GET /api/me/ HTTP/1.1" 401 58
WARNING 2025-07-15 14:13:22,418 basehttp "GET /api/me/ HTTP/1.1" 401 58
INFO 2025-07-15 14:13:22,481 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 14:13:22,486 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 14:13:22,487 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 14:13:22,505 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 14:13:24,236 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 14:13:24,236 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 14:13:24,244 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 14:13:24,333 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
WARNING 2025-07-15 14:13:33,008 log Unauthorized: /api/me/
WARNING 2025-07-15 14:13:33,009 basehttp "GET /api/me/ HTTP/1.1" 401 58
WARNING 2025-07-15 14:13:33,031 log Unauthorized: /api/me/
WARNING 2025-07-15 14:13:33,032 basehttp "GET /api/me/ HTTP/1.1" 401 58
INFO 2025-07-15 14:13:33,053 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 14:13:33,092 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 14:13:33,092 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 14:13:33,105 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 14:15:27,334 autoreload D:\APP PROJECT\sistem_lamaran\backend\core\settings.py changed, reloading.
INFO 2025-07-15 14:15:28,616 autoreload Watching for file changes with StatReloader
INFO 2025-07-15 14:16:42,434 autoreload D:\APP PROJECT\sistem_lamaran\backend\core\settings.py changed, reloading.
INFO 2025-07-15 14:16:43,625 autoreload Watching for file changes with StatReloader
WARNING 2025-07-15 14:16:47,105 log Unauthorized: /api/me/
WARNING 2025-07-15 14:16:47,109 log Unauthorized: /api/me/
WARNING 2025-07-15 14:16:47,113 basehttp "GET /api/me/ HTTP/1.1" 401 58
WARNING 2025-07-15 14:16:47,123 basehttp "GET /api/me/ HTTP/1.1" 401 58
INFO 2025-07-15 14:16:47,169 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 14:16:47,185 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 14:16:47,186 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 14:16:47,206 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 14:17:07,418 basehttp "POST /api/auth/google/ HTTP/1.1" 200 381
INFO 2025-07-15 14:17:07,480 basehttp "GET /api/me/ HTTP/1.1" 200 465
INFO 2025-07-15 14:17:07,589 basehttp "GET /api/v1/dashboard-stats/ HTTP/1.1" 200 358
INFO 2025-07-15 14:17:07,692 basehttp "GET /api/v1/dashboard-stats/ HTTP/1.1" 200 358
INFO 2025-07-15 14:17:31,090 basehttp "POST /api/auth/logout/ HTTP/1.1" 200 37
INFO 2025-07-15 14:17:31,239 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 14:17:31,247 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 14:17:31,247 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 14:17:31,260 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 14:17:38,083 basehttp "POST /api/auth/google/ HTTP/1.1" 200 365
INFO 2025-07-15 14:17:38,146 basehttp "GET /api/me/ HTTP/1.1" 200 567
INFO 2025-07-15 14:17:38,291 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 14:17:38,314 basehttp "GET /api/pelamar/lamaran/ HTTP/1.1" 200 3382
INFO 2025-07-15 14:17:38,323 basehttp "GET /api/pelamar/lamaran/ HTTP/1.1" 200 3382
INFO 2025-07-15 14:17:38,364 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 14:42:27,127 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
